qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
5add1d575542992c1e3a2540,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.2644,0.5,87.0,0.5,0.0
5ac55ea55542993e66e82377,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.2088,0.5,91.0,1.0,1.0
5ac3a76e554299741d48a2be,chunk_packed_96,chunk,packed,1.0,1.0,0.0,1.0,0.5,78.0,1.0,1.0
5a7133565542994082a3e65c,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,84.0,1.0,1.0
5ac1a4745542991316484b82,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3125,0.5,96.0,1.0,1.0
5adc597d55429947ff17392f,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,89.0,0.5,0.0
5ac55e835542993e66e82375,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.7753,0.5,89.0,1.0,1.0
5a8d9e0f554299441c6ba015,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,86.0,0.5,0.0
5ae70ed7554299572ea546a1,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4945,0.5,91.0,1.0,1.0
5a74a8fa55429929fddd8497,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.573,0.5,89.0,0.5,0.0
5a7cb94f554299683c1c6353,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4051,0.5,79.0,0.5,0.0
5ab874ba5542990e739ec904,chunk_packed_96,chunk,packed,0.0,0.0,1.0,0.5,0.5,96.0,1.0,1.0
5ae3a8985542992f92d82329,chunk_packed_96,chunk,packed,0.0,0.0,1.0,0.3068,0.5,88.0,0.5,0.0
5ac39f7b554299218029dbe7,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5789,0.5,95.0,1.0,1.0
5ae27b535542996483e649b6,chunk_packed_96,chunk,packed,1.0,1.0,0.0,0.3412,0.5,85.0,1.0,1.0
5a7331de5542994cef4bc4a8,chunk_packed_96,chunk,packed,0.0,0.0,1.0,0.5949,0.5,79.0,1.0,1.0
5ac15de55542991316484afb,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4255,0.5,94.0,1.0,1.0
5a7c6c9d554299683c1c6302,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.1684,0.5,95.0,0.5,0.0
5ae6363b55429929b0807af0,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3368,0.5,95.0,0.5,0.0
5a8cea40554299441c6b9f76,chunk_packed_96,chunk,packed,0.0,0.0,1.0,0.5444,0.5,90.0,1.0,1.0
5ab5ecd75542992aa134a3e6,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,84.0,1.0,1.0
5a84c5545542991dd0999dee,chunk_packed_96,chunk,packed,0.0,0.0,0.0,1.0,0.5,83.0,0.5,0.0
5adeacf955429975fa854f66,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,94.0,0.5,0.0
5a8ce15d554299653c1aa12f,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1.0
5ade4da055429939a52fe878,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.7143,0.5,91.0,1.0,1.0
5ab2a186554299295394677b,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.4805,0.5,77.0,1.0,1.0
5ade66e1554299728e26c713,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.7111,0.5,90.0,1.0,1.0
5a7c634c55429907fabeef79,chunk_packed_96,chunk,packed,1.0,1.0,0.0,0.0,0.0,96.0,1.0,1.0
5ae13f3c5542997b2ef7d168,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,89.0,0.5,0.0
5ae17cd055429901ffe4aea3,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.7391,1.0,92.0,1.0,1.0
5ae7940c55429952e35ea984,chunk_packed_96,chunk,packed,0.0,0.5714,0.0,0.0,0.0,88.0,0.5,0.0
5a7296815542991f9a20c515,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.3378,0.5,74.0,1.0,1.0
5ab2e8ad554299340b525562,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.6842,1.0,95.0,1.0,1.0
5a89b1de5542992e4fca8378,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.2833,0.5,60.0,1.0,1.0
5ab78edc5542995dae37e95c,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,87.0,0.5,0.0
5ae73acb5542991e8301cc07,chunk_packed_96,chunk,packed,0.0,0.0,1.0,0.4146,0.5,82.0,1.0,1.0
5a8257fa55429940e5e1a866,chunk_packed_96,chunk,packed,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0
5a8d8e4f5542994ba4e3dca7,chunk_packed_96,chunk,packed,0.0,0.5,1.0,1.0,1.0,80.0,1.0,1.0
5a8a07725542992d82986e5b,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,88.0,0.5,0.0
5a79fac85542996c55b2dcc1,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.4773,1.0,88.0,1.0,1.0
5a81537355429926c1cdad20,chunk_packed_96,chunk,packed,0.0,0.3077,1.0,0.7391,0.5,92.0,1.0,1.0
5a721d5a55429971e9dc9283,chunk_packed_96,chunk,packed,0.0,0.4444,1.0,1.0,1.0,95.0,1.0,1.0
5a7aa2a255429941d65f270e,chunk_packed_96,chunk,packed,0.0,0.8,1.0,1.0,1.0,77.0,1.0,1.0
5abe6f8455429965af743f03,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.2021,0.5,94.0,1.0,1.0
5ae7257a554299572ea54731,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.4667,0.5,90.0,1.0,1.0
5ac0e0e25542997d64295a6f,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4674,0.5,92.0,0.5,0.0
