qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__460946_294723,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0
2hop__252311_366220,chunk_packed_240,chunk,packed,0.0,0.8,1.0,0.1883,0.5,223.0,0.0,0.0
2hop__701895_752697,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2902,0.5,224.0,0.5,0.0
2hop__259228_793698,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0
2hop__481349_302087,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,234.0,0.5,0.0
2hop__697790_864352,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,235.0,0.5,0.0
2hop__207476_625987,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,237.0,0.5,0.0
2hop__390947_232243,chunk_packed_240,chunk,packed,0.0,0.8,1.0,0.2379,1.0,227.0,1.0,1.0
2hop__354635_174222,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,235.0,0.5,0.0
2hop__635187_861533,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2242,0.5,223.0,0.5,0.0
2hop__166824_185403,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1366,0.5,227.0,0.5,0.0
2hop__698577_851686,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.5,0.0
2hop__362107_652514,chunk_packed_240,chunk,packed,0.0,0.0,1.0,0.1822,0.5,236.0,1.0,1.0
2hop__402530_774333,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.089,0.5,236.0,0.5,0.0
2hop__195917_575657,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1458,0.5,240.0,0.5,0.0
2hop__683835_709167,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1688,0.5,237.0,0.5,0.0
2hop__197470_271394,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,239.0,1.0,1.0
2hop__458131_174974,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,224.0,0.5,0.0
2hop__299142_347613,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1167,0.5,240.0,0.5,0.0
2hop__528263_865831,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1938,0.5,227.0,0.5,0.0
2hop__569582_304416,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,239.0,1.0,1.0
2hop__505860_650613,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,230.0,0.5,0.0
2hop__821197_368148,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1378,0.5,225.0,1.0,1.0
2hop__554167_451128,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1839,0.5,223.0,0.5,0.0
2hop__702496_430061,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,226.0,0.5,0.0
2hop__549146_223121,chunk_packed_240,chunk,packed,0.0,0.4,0.0,0.1545,0.5,220.0,0.0,0.0
2hop__647996_551681,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,223.0,0.5,0.0
2hop__673655_316668,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1373,0.5,233.0,0.5,0.0
2hop__574419_270105,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0739,0.5,230.0,0.5,0.0
2hop__403712_793210,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.056,0.5,232.0,1.0,1.0
2hop__832795_350510,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1266,0.5,229.0,0.5,0.0
2hop__744055_408817,chunk_packed_240,chunk,packed,1.0,1.0,1.0,0.21,1.0,219.0,1.0,1.0
2hop__726717_610238,chunk_packed_240,chunk,packed,0.0,0.4444,1.0,0.3502,1.0,237.0,1.0,1.0
2hop__499577_617190,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2121,0.5,231.0,1.0,1.0
2hop__685280_510757,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.5,0.0
2hop__341305_332933,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.194,0.5,232.0,0.5,0.0
2hop__731228_609866,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,225.0,0.5,0.0
2hop__693444_220151,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,225.0,0.5,0.0
2hop__235471_565925,chunk_packed_240,chunk,packed,0.0,0.5,0.0,0.1532,0.5,222.0,0.5,0.0
2hop__310456_846599,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,237.0,0.5,0.0
2hop__335418_279684,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0991,0.5,232.0,1.0,1.0
2hop__191125_781346,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0955,0.5,220.0,0.5,0.0
2hop__475070_532404,chunk_packed_240,chunk,packed,0.0,0.0,1.0,0.4248,1.0,226.0,1.0,1.0
2hop__700093_455653,chunk_packed_240,chunk,packed,0.0,0.2857,1.0,0.5579,1.0,233.0,0.5,0.0
2hop__512773_346751,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2684,0.5,231.0,0.5,0.0
2hop__411091_625230,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.5,0.0
2hop__423972_540249,chunk_packed_240,chunk,packed,0.0,0.6667,0.0,0.1506,0.5,239.0,1.0,1.0
2hop__455158_247871,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1111,0.5,234.0,1.0,1.0
2hop__189094_612080,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1087,0.5,230.0,0.5,0.0
2hop__765678_310556,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1509,0.5,232.0,0.5,0.0
2hop__304852_758385,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1139,0.5,237.0,0.5,0.0
2hop__628752_538661,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2167,0.5,240.0,0.5,0.0
2hop__661847_288421,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1711,0.5,228.0,0.5,0.0
2hop__496732_658428,chunk_packed_240,chunk,packed,0.0,0.5,0.0,0.1097,0.5,237.0,0.5,0.0
2hop__175175_347233,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1059,0.5,236.0,0.5,0.0
2hop__496961_554601,chunk_packed_240,chunk,packed,0.0,0.0,1.0,0.1059,0.5,236.0,1.0,1.0
2hop__274110_413723,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0
2hop__231890_595414,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,229.0,0.5,0.0
2hop__342746_679190,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0
2hop__860241_766393,chunk_packed_240,chunk,packed,1.0,1.0,1.0,0.1757,0.5,239.0,0.5,0.0
2hop__29368_29376,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0
2hop__29367_29376,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0
2hop__21075_5028,chunk_packed_240,chunk,packed,0.0,0.0,1.0,0.2321,0.5,237.0,1.0,1.0
2hop__557411_652060,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0
2hop__677929_696450,chunk_packed_240,chunk,packed,0.0,0.5,0.0,0.1568,0.5,236.0,0.5,0.0
2hop__132909_33564,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1772,0.5,237.0,0.5,0.0
2hop__199216_33564,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.5,0.0
2hop__133241_33564,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,240.0,0.5,0.0
2hop__636597_480615,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1513,0.5,238.0,0.5,0.0
2hop__373759_136043,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0
2hop__709357_136043,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.3475,0.5,236.0,1.0,1.0
2hop__32254_84601,chunk_packed_240,chunk,packed,0.0,0.5,1.0,0.5447,1.0,235.0,1.0,1.0
2hop__471509_136043,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,231.0,1.0,1.0
2hop__87589_362941,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2795,0.5,229.0,0.5,0.0
2hop__61318_362941,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1724,0.5,232.0,0.5,0.0
2hop__20268_42004,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2479,0.5,238.0,1.0,1.0
2hop__159902_362941,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0
2hop__42027_42004,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,237.0,1.0,1.0
2hop__648648_173389,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1923,0.5,234.0,0.5,0.0
2hop__477492_240386,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2881,0.5,236.0,0.5,0.0
2hop__776377_857193,chunk_packed_240,chunk,packed,0.0,0.5,0.0,0.2375,0.5,240.0,0.5,0.0
2hop__29752_814677,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.2395,0.5,238.0,0.0,0.0
2hop__77601_814677,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.0,0.0,234.0,1.0,1.0
2hop__497191_129669,chunk_packed_240,chunk,packed,0.0,0.0,0.0,0.1719,0.5,221.0,0.5,0.0
