qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
34c3dd940bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5762,1.0,151.0,1.0,1.0
a1c37dc40bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2448,0.5,143.0,0.5,0.0
e051bd000bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.0,0.0,147.0,0.5,0.0
f02d1c2208b811ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5695,0.5,151.0,0.75,0.0
782f0c160bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1618,0.5,136.0,0.5,0.0
21e70b7e0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3421,0.5,152.0,1.0,1.0
8d3d54ec0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2893,0.5,159.0,0.5,0.0
33bcd7ce0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2727,0.5,143.0,0.5,0.0
249f9f060bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1765,0.5,153.0,0.5,0.0
45eb6a5408b611ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4338,0.5,136.0,0.5,0.0
5f02fdf2084f11ebbd56ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.331,1.0,142.0,1.0,1.0
af356f7a0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2394,0.5,142.0,0.5,0.0
dbca21a20bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0903,0.5,144.0,0.5,0.0
27d8ec30091f11ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.519,1.0,158.0,1.0,1.0
808f9f1808b111ebbd85ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3828,1.0,128.0,1.0,1.0
d6b29805087b11ebbd69ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5974,0.5,154.0,0.5,0.0
9b8278a20bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1938,0.5,160.0,0.5,0.0
c99fc05e0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2675,0.5,157.0,0.5,0.0
60465ce2085411ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3057,0.5,157.0,0.5,0.0
3e0cebde0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1867,0.5,150.0,0.5,0.0
3cddcc46086511ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6601,1.0,153.0,1.0,1.0
7f6e237109c411ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3924,1.0,158.0,1.0,1.0
dc3a36a00bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4718,0.5,142.0,0.5,0.0
09ede27e08fd11ebbdadac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8844,1.0,147.0,1.0,1.0
003285a80bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5,1.0,156.0,1.0,1.0
0e2082e408d111ebbd95ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5968,1.0,124.0,1.0,1.0
322178260bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1645,0.5,152.0,0.5,0.0
4c1772720bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2,0.0,0.1613,0.5,155.0,0.5,0.0
adf59bec0bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.2857,0.0,0.2785,0.5,158.0,0.5,0.0
136c700c089611ebbd76ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5223,0.5,157.0,1.0,1.0
6b2ad6600bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4067,1.0,150.0,1.0,1.0
e6a4ff4c0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.283,0.5,159.0,0.5,0.0
a163b2d1087d11ebbd6bac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2092,0.5,153.0,1.0,1.0
be851b660bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.375,0.5,136.0,1.0,1.0
fbc352ec0bae11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.8,1.0,0.5163,1.0,153.0,1.0,1.0
041879d0093a11ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4323,0.5,155.0,1.0,1.0
8dcab52d092f11ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5069,1.0,144.0,1.0,1.0
6a765fc60bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5463,0.5,108.0,1.0,1.0
0c4973520bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.4444,0.0,0.1613,0.5,155.0,1.0,1.0
350ec8b80bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.513,1.0,154.0,1.0,1.0
16d7da20087911ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3448,1.0,145.0,1.0,1.0
d60529440baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3706,0.5,143.0,0.5,0.0
