qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
5ae2138c5542997283cd23b7,chunk_packed_160,chunk,packed,0.0,0.3333,0.0,0.0,0.525,1.0,160.0,1.0,1.0
5a77152355429966f1a36c2e,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.1753,0.5,154.0,0.5,0.0
5ade99ad554299728e26c75d,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.9462,1.0,130.0,1.0,1.0
5ab81cff5542990e739ec827,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.239,0.5,159.0,1.0,1.0
5ae5be02554299546bf82f3e,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.8544,1.0,158.0,1.0,1.0
5ae3f1bb5542995ad6573cbe,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.5137,1.0,146.0,1.0,1.0
5a8389445542996488c2e450,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.6549,1.0,142.0,1.0,1.0
5a89fc305542993b751ca9dc,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.7799,1.0,159.0,1.0,1.0
5a85bc2d5542994c784ddb70,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.3421,1.0,152.0,1.0,1.0
5a7b1c745542992d025e6777,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.242,0.5,157.0,0.5,0.0
5ae2d8fb55429928c42394fa,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2,0.2214,0.5,140.0,0.5,0.0
5ae7f6be554299540e5a56db,chunk_packed_160,chunk,packed,0.0,0.3333,1.0,1.0,0.3418,1.0,158.0,1.0,1.0
5a773ae055429972597f14b0,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.4125,1.0,160.0,1.0,1.0
5a75abbb5542992d0ec05fd9,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.4397,0.5,141.0,0.5,0.0
5ae4c49a5542995dadf24400,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1623,0.5,154.0,0.5,0.0
5ac44813554299194317396b,chunk_packed_160,chunk,packed,0.0,0.4,1.0,1.0,0.5097,1.0,155.0,1.0,1.0
5abfc8675542993fe9a41e52,chunk_packed_160,chunk,packed,0.0,0.6667,1.0,1.0,0.4748,0.5,139.0,1.0,1.0
5a8aeadc55429950cd6afbe0,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.4504,1.0,131.0,1.0,1.0
5ab2082f554299722f9b4c9f,chunk_packed_160,chunk,packed,0.0,0.1481,0.0,0.0,0.0,0.0,148.0,1.0,1.0
5ae0ba15554299603e41844d,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.3947,1.0,152.0,1.0,1.0
5a7332935542991f9a20c67d,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.3467,0.5,150.0,1.0,1.0
5a9068f85542990a98493623,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0
5addd5795542990dbb2f7e9d,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.415,0.5,147.0,1.0,1.0
5adfa3da554299025d62a317,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.0,0.0,145.0,0.5,0.0
5ae6443355429908198fa563,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.6447,1.0,152.0,1.0,1.0
5ab98608554299131ca42362,chunk_packed_160,chunk,packed,0.0,1.0,1.0,1.0,0.2808,0.5,146.0,0.5,0.0
5ae61bfd5542992663a4f261,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3007,0.5,143.0,0.5,0.0
5ab870ed55429934fafe6db9,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.3567,0.5,157.0,0.5,0.0
5abcfc365542993a06baf9d6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.5,0.0
5add63845542992ae4cec541,chunk_packed_160,chunk,packed,0.0,0.125,0.0,0.2,0.3893,0.5,149.0,1.0,1.0
5ae2a0a1554299495565dae9,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.1353,0.5,133.0,1.0,1.0
5a84eecd5542994c784dda8e,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.554,0.5,139.0,1.0,1.0
5a85fa815542996432c57155,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2625,0.5,160.0,1.0,1.0
5a84a5385542990548d0b2d9,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.5548,0.5,155.0,1.0,1.0
5a78f26055429970f5fffdeb,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.6937,1.0,160.0,1.0,1.0
