qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__460946_294723,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0
2hop__252311_366220,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0
2hop__701895_752697,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4745,0.5,137.0,0.5,0.0
2hop__259228_793698,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0
2hop__481349_302087,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.3028,0.5,142.0,0.5,0.0
2hop__697790_864352,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.4362,0.5,149.0,0.5,0.0
2hop__207476_625987,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6667,0.0,0.0,144.0,0.5,0.0
2hop__390947_232243,chunk_packed_160,chunk,packed,0.0,0.8,1.0,1.0,0.375,1.0,144.0,1.0,1.0
2hop__354635_174222,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.4065,0.5,155.0,0.5,0.0
2hop__635187_861533,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.2089,0.5,158.0,0.5,0.0
2hop__166824_185403,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2153,0.5,144.0,0.5,0.0
2hop__698577_851686,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1948,0.5,154.0,0.5,0.0
2hop__362107_652514,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.7209,1.0,129.0,1.0,1.0
2hop__402530_774333,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.1338,0.5,157.0,0.5,0.0
2hop__195917_575657,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2333,0.5,150.0,0.5,0.0
2hop__683835_709167,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2857,0.1742,0.5,155.0,0.5,0.0
2hop__197470_271394,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.2449,1.0,147.0,1.0,1.0
2hop__458131_174974,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3453,0.5,139.0,0.5,0.0
2hop__299142_347613,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1795,0.5,156.0,0.5,0.0
2hop__528263_865831,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2876,0.5,153.0,0.5,0.0
2hop__569582_304416,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1842,0.5,152.0,1.0,1.0
2hop__505860_650613,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.5,0.0
2hop__821197_368148,chunk_packed_160,chunk,packed,0.0,0.6667,1.0,1.0,0.3333,1.0,159.0,1.0,1.0
2hop__554167_451128,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2733,0.5,150.0,0.5,0.0
2hop__702496_430061,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.1862,0.5,145.0,0.5,0.0
2hop__549146_223121,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.0,0.0,156.0,0.0,0.0
2hop__647996_551681,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3399,0.5,153.0,0.5,0.0
2hop__673655_316668,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2192,0.5,146.0,0.5,0.0
2hop__574419_270105,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1118,0.5,152.0,0.5,0.0
2hop__403712_793210,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.5161,0.5,155.0,1.0,1.0
