qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
5aba926f55429901930fa83e,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.5,0.0
5ae1fced5542997283cd230e,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3632,0.5,212.0,1.0,1.0
5a890b895542995153361278,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4789,1.0,213.0,1.0,1.0
5a90b2175542990a984936ae,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.7268,1.0,205.0,1.0,1.0
5a881cbb55429938390d3ee7,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1818,0.5,220.0,0.5,0.0
5a764c0b55429976ec32bd89,chunk_packed_224,chunk,packed,0.0,0.1176,1.0,1.0,0.1448,0.5,221.0,1.0,1.0
5ac2da27554299657fa2909f,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2304,0.5,204.0,0.5,0.0
5ac26ac15542992f1f2b38bc,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3426,0.5,216.0,0.5,0.0
5a8a521d5542992d82986f15,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.5463,1.0,216.0,1.0,1.0
5ae650fb55429929b0807b2e,chunk_packed_224,chunk,packed,0.0,0.7273,1.0,1.0,0.3151,1.0,219.0,1.0,1.0
5a8bc1b85542997f31a41db8,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3243,1.0,222.0,1.0,1.0
5ab209ec554299722f9b4ca2,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.4286,0.2732,0.5,205.0,0.5,0.0
5a8bb90f5542996e8ac88a02,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.1027,0.5,224.0,0.5,0.0
5ac31b0a554299741d48a1f0,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5,0.343,0.5,207.0,0.5,0.0
5adf3e355542993a75d26440,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5426,1.0,223.0,1.0,1.0
5abd245555429924427fcf0f,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.1963,0.5,219.0,0.5,0.0
5a84b5975542991dd0999da3,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.6835,1.0,218.0,1.0,1.0
5a8ba3ff55429971feec4744,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.5607,1.0,214.0,1.0,1.0
5a8303c255429954d2e2ec01,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.2184,0.5,206.0,0.5,0.0
5a7b374c5542995eb53be8cc,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3472,1.0,216.0,1.0,1.0
5a7b63eb55429931da12ca7e,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4751,1.0,221.0,1.0,1.0
5a90492655429933b8a204d8,chunk_packed_224,chunk,packed,0.0,0.25,1.0,1.0,0.2055,0.5,219.0,1.0,1.0
5a8a502b5542996c9b8d5ea6,chunk_packed_224,chunk,packed,0.0,0.8571,0.0,0.75,0.6473,1.0,224.0,1.0,1.0
5ae5a4e5554299546bf82f01,chunk_packed_224,chunk,packed,0.0,0.75,1.0,1.0,0.4597,1.0,211.0,1.0,1.0
5a78e3b955429974737f78f1,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.7563,1.0,197.0,1.0,1.0
5a85cd295542997175ce202b,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2227,0.5,211.0,0.5,0.0
5add6cf45542992ae4cec55f,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3093,0.5,194.0,0.5,0.0
5a86fde6554299211dda2b7f,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1126,0.5,222.0,0.5,0.0
5a8198565542995ce29dcc13,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.2488,0.5,205.0,1.0,1.0
5a79332555429907847277e7,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2523,1.0,218.0,1.0,1.0
5ac31602554299741d48a1bf,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2523,0.5,218.0,0.5,0.0
5ae4a2e25542996836b02cee,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5249,1.0,221.0,1.0,1.0
5a8192045542995ce29dcc04,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4018,1.0,224.0,1.0,1.0
5a817d8c55429903bc27b974,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3955,1.0,220.0,1.0,1.0
5adf0ae45542992d7e9f9286,chunk_packed_224,chunk,packed,0.0,0.6667,1.0,1.0,0.4326,1.0,215.0,1.0,1.0
5a7309a15542992359bc320c,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.381,1.0,210.0,1.0,1.0
5ac54f8d5542993e66e822f5,chunk_packed_224,chunk,packed,0.0,0.5,1.0,1.0,0.3158,1.0,209.0,1.0,1.0
5ae5cf625542996de7b71a22,chunk_packed_224,chunk,packed,0.0,0.8571,1.0,1.0,0.3032,0.5,221.0,1.0,1.0
5ae1d5a3554299234fd04319,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2364,0.5,220.0,0.5,0.0
5ab6390f5542995eadeeff7a,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.55,1.0,220.0,1.0,1.0
5a7344e95542991f9a20c6ce,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3153,0.5,203.0,1.0,1.0
5ac2ed41554299218029db96,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2427,0.5,206.0,1.0,1.0
