qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
5aba926f55429901930fa83e,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.5,0.0
5ae1fced5542997283cd230e,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.1401,0.5,157.0,1.0,1.0
5a890b895542995153361278,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.2885,0.5,156.0,1.0,1.0
5a90b2175542990a984936ae,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.6084,1.0,143.0,1.0,1.0
5a881cbb55429938390d3ee7,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2649,0.5,151.0,0.5,0.0
5a764c0b55429976ec32bd89,chunk_packed_160,chunk,packed,0.0,0.1667,1.0,1.0,0.2092,0.5,153.0,1.0,1.0
5ac2da27554299657fa2909f,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2956,0.5,159.0,0.5,0.0
5ac26ac15542992f1f2b38bc,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.5,0.0
5a8a521d5542992d82986f15,chunk_packed_160,chunk,packed,0.0,0.0,0.0,1.0,0.2468,0.5,154.0,1.0,1.0
5ae650fb55429929b0807b2e,chunk_packed_160,chunk,packed,0.0,0.7273,1.0,1.0,0.457,1.0,151.0,1.0,1.0
5a8bc1b85542997f31a41db8,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.4737,1.0,152.0,1.0,1.0
5ab209ec554299722f9b4ca2,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2857,0.3567,0.5,157.0,0.5,0.0
5a8bb90f5542996e8ac88a02,chunk_packed_160,chunk,packed,0.0,0.8,1.0,1.0,0.1484,0.5,155.0,0.5,0.0
5ac31b0a554299741d48a1f0,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.5,0.0
5adf3e355542993a75d26440,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.5794,0.5,126.0,1.0,1.0
5abd245555429924427fcf0f,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.2886,0.5,149.0,0.5,0.0
5a84b5975542991dd0999da3,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.4416,0.5,154.0,1.0,1.0
5a8ba3ff55429971feec4744,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8,0.4437,0.5,151.0,1.0,1.0
5a8303c255429954d2e2ec01,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.3103,0.5,145.0,0.5,0.0
5a7b374c5542995eb53be8cc,chunk_packed_160,chunk,packed,0.0,0.75,1.0,1.0,0.5068,1.0,148.0,1.0,1.0
5a7b63eb55429931da12ca7e,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.4586,1.0,157.0,1.0,1.0
5a90492655429933b8a204d8,chunk_packed_160,chunk,packed,0.0,0.25,1.0,1.0,0.2812,0.5,160.0,1.0,1.0
5a8a502b5542996c9b8d5ea6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.5062,1.0,160.0,1.0,1.0
5ae5a4e5554299546bf82f01,chunk_packed_160,chunk,packed,0.0,0.75,1.0,1.0,0.6424,1.0,151.0,1.0,1.0
5a78e3b955429974737f78f1,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.6842,1.0,152.0,1.0,1.0
5a85cd295542997175ce202b,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2938,0.5,160.0,0.5,0.0
5add6cf45542992ae4cec55f,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3774,0.5,159.0,0.5,0.0
