qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
ad193b1808b411ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3063,0.5,160.0,0.5,0.0
5b168cd8089811ebbd77ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4713,1.0,157.0,1.0,1.0
b23a2b360baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2722,0.5,158.0,1.0,1.0
c5ffa16a0bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2635,0.5,148.0,0.5,0.0
eb3ff1900baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3208,0.5,159.0,1.0,1.0
59a16ade0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,152.0,0.5,0.0
5c9ef1d80bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,140.0,0.5,0.0
a537c442086d11ebbd62ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.7051,0.5,156.0,0.5,0.0
01588f7208be11ebbd8aac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5,0.5,156.0,0.5,0.0
6b55ac320bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.8045,1.0,133.0,1.0,1.0
fde95590089c11ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.1959,0.5,148.0,1.0,1.0
1f8a41b60bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5956,1.0,136.0,1.0,1.0
50008e080bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1083,0.5,157.0,0.5,0.0
9f62be2008ac11ebbd83ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3624,0.5,149.0,1.0,1.0
6bb800f00bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6282,1.0,156.0,1.0,1.0
1822cbb4089111ebbd72ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3924,0.5,158.0,0.5,0.0
87154f1e0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2158,0.5,139.0,0.5,0.0
709430f20bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6603,1.0,156.0,1.0,1.0
