qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
5aba926f55429901930fa83e,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.5,0.0
5ae1fced5542997283cd230e,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.0,0.0,120.0,1.0,1.0
5a890b895542995153361278,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.25,0.0,0.0,111.0,1.0,1.0
5a90b2175542990a984936ae,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.5625,1.0,128.0,1.0,1.0
5a881cbb55429938390d3ee7,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.3226,0.5,124.0,0.5,0.0
5a764c0b55429976ec32bd89,chunk_packed_128,chunk,packed,0.0,0.1667,1.0,1.0,0.2623,0.5,122.0,1.0,1.0
5ac2da27554299657fa2909f,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.4653,0.5,101.0,0.5,0.0
5ac26ac15542992f1f2b38bc,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.5,0.0
5a8a521d5542992d82986f15,chunk_packed_128,chunk,packed,0.0,0.3333,0.0,1.0,0.1967,0.5,122.0,1.0,1.0
5ae650fb55429929b0807b2e,chunk_packed_128,chunk,packed,0.0,0.7273,1.0,1.0,0.5433,1.0,127.0,1.0,1.0
5a8bc1b85542997f31a41db8,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.6102,1.0,118.0,1.0,1.0
5ab209ec554299722f9b4ca2,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.2857,0.448,0.5,125.0,0.5,0.0
5a8bb90f5542996e8ac88a02,chunk_packed_128,chunk,packed,0.0,0.0,1.0,1.0,0.1825,0.5,126.0,0.5,0.0
5ac31b0a554299741d48a1f0,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.5,0.0
5adf3e355542993a75d26440,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.5794,0.5,126.0,1.0,1.0
5abd245555429924427fcf0f,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.3613,0.5,119.0,0.5,0.0
5a84b5975542991dd0999da3,chunk_packed_128,chunk,packed,0.0,0.0,1.0,1.0,0.4344,0.5,122.0,1.0,1.0
5a8ba3ff55429971feec4744,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.8,0.5492,0.5,122.0,1.0,1.0
5a8303c255429954d2e2ec01,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.3333,0.0,0.0,127.0,0.5,0.0
5a7b374c5542995eb53be8cc,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.4016,1.0,122.0,1.0,1.0
5a7b63eb55429931da12ca7e,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.32,0.5,125.0,1.0,1.0
5a90492655429933b8a204d8,chunk_packed_128,chunk,packed,0.0,0.0,1.0,1.0,0.3879,0.5,116.0,1.0,1.0
5a8a502b5542996c9b8d5ea6,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.2883,0.5,111.0,1.0,1.0
5ae5a4e5554299546bf82f01,chunk_packed_128,chunk,packed,0.0,0.75,1.0,1.0,0.3305,0.5,118.0,1.0,1.0
5a78e3b955429974737f78f1,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.6066,1.0,122.0,1.0,1.0
5a85cd295542997175ce202b,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.4563,0.5,103.0,0.5,0.0
5add6cf45542992ae4cec55f,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.4762,0.5,126.0,0.5,0.0
5a86fde6554299211dda2b7f,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.1984,0.5,126.0,0.5,0.0
5a8198565542995ce29dcc13,chunk_packed_128,chunk,packed,0.0,0.0,1.0,1.0,0.3984,0.5,128.0,1.0,1.0
5a79332555429907847277e7,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.4365,1.0,126.0,1.0,1.0
5ac31602554299741d48a1bf,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.5,0.0
5ae4a2e25542996836b02cee,chunk_packed_128,chunk,packed,0.0,0.0,0.0,0.0,0.5968,1.0,124.0,1.0,1.0
5a8192045542995ce29dcc04,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.3058,0.5,121.0,1.0,1.0
5a817d8c55429903bc27b974,chunk_packed_128,chunk,packed,0.0,0.0,1.0,1.0,0.544,1.0,125.0,1.0,1.0
5adf0ae45542992d7e9f9286,chunk_packed_128,chunk,packed,0.0,0.6667,1.0,1.0,0.744,1.0,125.0,1.0,1.0
5a7309a15542992359bc320c,chunk_packed_128,chunk,packed,1.0,1.0,1.0,1.0,0.7018,1.0,114.0,1.0,1.0
5ac54f8d5542993e66e822f5,chunk_packed_128,chunk,packed,0.0,0.5,1.0,1.0,0.5197,1.0,127.0,1.0,1.0
5ae5cf625542996de7b71a22,chunk_packed_128,chunk,packed,0.0,0.8571,1.0,1.0,0.3016,0.5,126.0,1.0,1.0
5ae1d5a3554299234fd04319,chunk_packed_128,chunk,packed,0.0,0.8571,1.0,1.0,0.4952,0.5,105.0,0.5,0.0
