qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_160_tokens,chunk_packed_160_doc_count,chunk_packed_160_em,chunk_packed_160_f1,ace_packed_160_tokens,ace_packed_160_doc_count,ace_packed_160_em,ace_packed_160_f1,ace_focused_160_tokens,ace_focused_160_doc_count,ace_focused_160_em,ace_focused_160_f1
techqa_DEV_Q243,"Using cobol copybooks Sometimes, there will be errors/fields missing in typetree, while importing cobol copybooks. Is there any format for copybooks(specifically to be used in wtx), that we need to follow? ",chunk_packed_160,chunk_packed_160,0.19711583433045426,0.1792124718960676,0.1840526135511192,0.22255758117037308,0.6666666666666666,154,3,0.0,0.0,159,3,0.0,0.0,155,3,0.0,0.0
techqa_DEV_Q280,Is WebSphere Transformation Extender (WTX) supported for IBM Integration Bus V10? When will WebSphere Transformation Extender (WTX) be supported for IBM Integration Bus V10?,ace_packed_160,chunk_packed_160,0.21075411969670574,0.21403140783795868,0.20950114422344224,0.27119582777159196,1.0,139,1,0.0,0.0,148,3,0.0,0.0,150,2,0.0,0.0
techqa_DEV_Q253,Want to find out if Microsoft Edge is supported with ICC? Want to find out Microsoft Edge is supported with ICC? ,ace_packed_160,ace_packed_160,0.1662411793290025,0.16797371758003166,0.16615173127049881,0.2328833535673006,0.25,159,2,0.0,0.0,149,3,0.0,0.0,160,3,0.0,0.0
techqa_DEV_Q231,What IBM Business Process Manager version is affected by the Apache Commons FileUpload vulnerability CVE-2016-1000031? What IBM Business Process Manager version is affected by the Apache Commons FileUpload vulnerability CVE-2016-1000031? ,ace_packed_160,chunk_packed_160,0.18696324759167027,0.18670640567033686,0.19044838033019032,0.2517446565315292,0.25,146,2,0.0,0.0,153,3,0.0,0.0,158,2,0.0,0.0
techqa_DEV_Q196,"Error while installing SpSS modeler trial version I have downloaded the SPSS modeller trial version (18.1) (64 bit) and trying to install the same. I get the following error 1152: Error extracting modelerClient64.msi to the temporary location
",ace_packed_160,ace_packed_160,0.20413448431180042,0.2140376731974446,0.2045420867218314,0.24051802732769176,0.42857142857142855,157,2,0.0,0.0,155,3,0.0,0.0,159,4,0.0,0.0
techqa_DEV_Q062,Where can I find more details about WMB Fix Pack 8.0.0.5? Where can find more information about WebSphere Message Broker (WMB) Fix Pack 8.0.0.5?,chunk_packed_160,chunk_packed_160,0.19646728649444584,0.17390425611353888,0.19587567347655832,0.21311320952024376,0.0,137,2,0.0,0.0,187,1,0.0,0.0,156,3,0.0,0.0
techqa_DEV_Q252,"How to resolve the StaleConnectionException in WebSphere Application Server? I see this exception in WebSphere Application Server J2c and RRA traces:

WSRdbManagedC > preTestConnection Entry WSRdbManagedConnectionImpl@51a507f2 query: SELECT 1 FROM DUAL WSRdbManagedC 3 Exception java.sql.SQLException: ORA-02396: exceeded maximum idle time, please connect again DSRA0010E: SQL State = 61000, Error Code = 2,396 at oracle.jdbc.driver.T4CTTIoer.processError(T4CTTIoer.java:440) at 
...
Entry java.sql.SQLException: ORA-01012: not logged on ..... OracleDataSto < findMappingClass return Exit class com.ibm.websphere.ce.cm.StaleConnectionException",chunk_packed_160,ace_focused_160,0.21623495382698033,0.21572708299012028,0.22364498844462627,0.22042386157453409,0.42857142857142855,154,2,0.0,0.12068965517241378,150,3,0.0,0.0,149,2,0.0,0.21705426356589147
techqa_DEV_Q199,"How do I resolve a WSVR0605W hung thread issue in the WebSphere MQ Resource Adapter? The following WebSphere MQ Resource Adapter hung thread can prevent an application server from starting...

WSVR0605W: Thread ""WMQJCAResourceAdapter : 6"" (0000001b) has been active for 698530 milliseconds and may be hung. There is 1 thread(s) in total in the server that may be hung. at java.lang.Object.wait(Native Method) at java.lang.Object.wait(Object.java:167) at com.ibm.ejs.container.MessageEndpointFactoryImpl.createEndpoint(MessageEndpointFactoryImpl.java:498) at com.ibm.mq.connector.inbound.WorkImpl.run(WorkImpl.java:149)",chunk_packed_160,ace_focused_160,0.23834885727928404,0.22160557986436302,0.24950718667325505,0.21717001194703625,0.25,328,1,0.0,0.0,160,3,0.0,0.0,160,3,0.0,0.03076923076923077
techqa_DEV_Q077,"I need to transfer my SPSS 24 licence to a new computer I need to transfer my SPSS 24 license to a new machine. I have only used my activation code on one computer so far, and that computer was found to be defective which has led me to get a new computer. I was able to download SPSS 24 Gradpack onto the new computer, but every time I put in the activation code, the program gives me an error message saying that I am not allowed to generate any new licenses.",chunk_packed_160,ace_packed_160,0.20543014403711315,0.2196982871458299,0.20938682399743982,0.21603585740429662,0.42857142857142855,160,3,0.0,0.0,148,3,0.0,0.0,159,4,0.0,0.0
techqa_DEV_Q008,"How can I export a private key from DataPower Gateway Appliance? 

How can I export a private key from DataPower Gateway appliance?

",ace_packed_160,ace_focused_160,0.1896297764176243,0.20989015492952584,0.21360589986239056,0.2432024337283729,0.25,160,3,0.0,0.0,153,3,0.0,0.0,155,3,0.0,0.017241379310344827
