qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
5aba926f55429901930fa83e,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,150.0,0.5,0.0
5ae1fced5542997283cd230e,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.1401,0.5,157.0,1.0,1.0
5a890b895542995153361278,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2885,0.5,156.0,1.0,1.0
5a90b2175542990a984936ae,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6084,1.0,143.0,1.0,1.0
5a881cbb55429938390d3ee7,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2649,0.5,151.0,0.5,0.0
5a764c0b55429976ec32bd89,chunk_packed_160,chunk,packed,0.0,0.1667,1.0,0.2092,0.5,153.0,1.0,1.0
5ac2da27554299657fa2909f,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2956,0.5,159.0,0.5,0.0
5ac26ac15542992f1f2b38bc,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,156.0,0.5,0.0
5a8a521d5542992d82986f15,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2468,0.5,154.0,1.0,1.0
5ae650fb55429929b0807b2e,chunk_packed_160,chunk,packed,0.0,0.7273,1.0,0.457,1.0,151.0,1.0,1.0
5a8bc1b85542997f31a41db8,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4737,1.0,152.0,1.0,1.0
5ab209ec554299722f9b4ca2,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3567,0.5,157.0,0.5,0.0
5a8bb90f5542996e8ac88a02,chunk_packed_160,chunk,packed,0.0,0.8,1.0,0.1484,0.5,155.0,0.5,0.0
5ac31b0a554299741d48a1f0,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,154.0,0.5,0.0
5adf3e355542993a75d26440,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5794,0.5,126.0,1.0,1.0
5abd245555429924427fcf0f,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2886,0.5,149.0,0.5,0.0
5a84b5975542991dd0999da3,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4416,0.5,154.0,1.0,1.0
