qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__460946_294723,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0
2hop__252311_366220,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0
2hop__701895_752697,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.6915,0.5,94.0,0.5,0.0
2hop__259228_793698,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0
2hop__481349_302087,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5658,0.5,76.0,0.5,0.0
2hop__697790_864352,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4368,0.5,87.0,0.5,0.0
2hop__207476_625987,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4,0.5,90.0,0.5,0.0
2hop__390947_232243,chunk_packed_96,chunk,packed,0.0,0.8,1.0,0.6585,1.0,82.0,1.0,1.0
2hop__354635_174222,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.7079,0.5,89.0,0.5,0.0
2hop__635187_861533,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.375,0.5,88.0,0.5,0.0
2hop__166824_185403,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,92.0,0.5,0.0
2hop__698577_851686,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,90.0,0.5,0.0
2hop__362107_652514,chunk_packed_96,chunk,packed,0.0,0.0,1.0,0.5443,0.5,79.0,1.0,1.0
2hop__402530_774333,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.2625,0.5,80.0,0.5,0.0
2hop__195917_575657,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3933,0.5,89.0,0.5,0.0
2hop__683835_709167,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5556,0.5,72.0,0.5,0.0
2hop__197470_271394,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4235,1.0,85.0,1.0,1.0
2hop__458131_174974,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,91.0,0.5,0.0
2hop__299142_347613,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3146,0.5,89.0,0.5,0.0
2hop__528263_865831,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5366,0.5,82.0,0.5,0.0
2hop__569582_304416,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,89.0,1.0,1.0
2hop__505860_650613,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4731,0.5,93.0,0.5,0.0
2hop__821197_368148,chunk_packed_96,chunk,packed,0.0,0.6667,1.0,0.5638,1.0,94.0,1.0,1.0
2hop__554167_451128,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.6979,0.5,96.0,0.5,0.0
2hop__702496_430061,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,96.0,0.5,0.0
2hop__549146_223121,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0
2hop__647996_551681,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,65.0,0.5,0.0
2hop__673655_316668,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4776,0.5,67.0,0.5,0.0
2hop__574419_270105,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4255,0.5,94.0,0.5,0.0
2hop__403712_793210,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.1477,0.5,88.0,1.0,1.0
2hop__832795_350510,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4394,0.5,66.0,0.5,0.0
2hop__744055_408817,chunk_packed_96,chunk,packed,1.0,1.0,1.0,0.5897,1.0,78.0,1.0,1.0
2hop__726717_610238,chunk_packed_96,chunk,packed,0.0,0.5714,1.0,1.0,1.0,83.0,1.0,1.0
2hop__499577_617190,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5976,0.5,82.0,1.0,1.0
2hop__685280_510757,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,88.0,0.5,0.0
2hop__341305_332933,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5056,0.5,89.0,0.5,0.0
2hop__731228_609866,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,86.0,0.5,0.0
2hop__693444_220151,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3222,0.5,90.0,0.5,0.0
2hop__235471_565925,chunk_packed_96,chunk,packed,0.0,0.5,0.0,0.382,0.5,89.0,0.5,0.0
2hop__310456_846599,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,83.0,0.5,0.0
2hop__335418_279684,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.2738,0.5,84.0,1.0,1.0
2hop__191125_781346,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.25,0.5,84.0,0.5,0.0
2hop__475070_532404,chunk_packed_96,chunk,packed,0.0,0.0,1.0,1.0,1.0,96.0,1.0,1.0
2hop__700093_455653,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3368,0.5,95.0,0.5,0.0
2hop__512773_346751,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.6458,0.5,96.0,0.5,0.0
2hop__411091_625230,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.0,0.0,85.0,0.5,0.0
2hop__423972_540249,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.6477,0.5,88.0,1.0,1.0
2hop__455158_247871,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.6333,1.0,90.0,1.0,1.0
2hop__189094_612080,chunk_packed_96,chunk,packed,0.0,0.8,0.0,0.4464,0.5,56.0,0.5,0.0
2hop__765678_310556,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.4167,0.5,84.0,0.5,0.0
2hop__304852_758385,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5647,0.5,85.0,0.5,0.0
2hop__628752_538661,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5652,0.5,92.0,0.5,0.0
2hop__661847_288421,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.5132,0.5,76.0,0.5,0.0
2hop__496732_658428,chunk_packed_96,chunk,packed,0.0,0.5,0.0,0.2955,0.5,88.0,0.5,0.0
2hop__175175_347233,chunk_packed_96,chunk,packed,0.0,0.0,0.0,0.3049,0.5,82.0,0.5,0.0
